id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
625373,IRN-2026-1-18868-62,2026,true,Clear,1,"",16905,"Iran - Israel, United States of America",18868,18868,"Government of Iran - Government of Israel, Government of United States of America",114,114,Government of Iran,9865,9865,"Government of Israel, Government of United States of America",2,"""Xinhua News Agency,2026-04-02,1st LD Writethru: 8 killed, 95 wounded in U.S.-Israeli attacks on bridge in N. Iran"";""Xinhua News Agency,2026-04-03,Urgent: Death toll rises to 13 from U.S.-Israeli attacks on bridge in N. Iran -- media""",Xinhua News Agency;Xinhua News Agency,2026-04-02;2026-04-03,"1st LD Writethru: 8 killed, 95 wounded in U.S.-Israeli attacks on bridge in N. Iran;Urgent: Death toll rises to 13 from U.S.-Israeli attacks on bridge in N. Iran -- media","director general of the provincial Foundation of Martyrs and Veterans Affairs, semi-official Mehr news agency",1,Karaj town,"B1 bridge, Karaj",Alborz province,Karaj county,35.835556,51.010278,POINT (51.010278 35.835556),181183,Iran,630,Middle East,1,1,2026-04-02 00:00:00.000,2026-04-02 00:00:00.000,0,0,8,5,13,13,13,630,
626545,ISR-2026-1-477-234,2026,true,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,3,"""Wafa,2026-04-09,Three martyrs as a result of the occupation's bombing of the cities of Gaza and Khan Younis"";""The Amit Terrorism and Intelligence Research Institute,2026-04-29,Spotlight on Terrorism and the Israeli-Palestinian Conflict (April 14 – 28, 2026)"";""Reuters News,2026-04-09,UPDATE 1-Israeli fire kills girl student in Gaza, medics say""",Wafa;The Amit Terrorism and Intelligence Research Institute;Reuters News,2026-04-09;2026-04-29;2026-04-09,"Three martyrs as a result of the occupation's bombing of the cities of Gaza and Khan Younis;Spotlight on Terrorism and the Israeli-Palestinian Conflict (April 14 – 28, 2026);UPDATE 1-Israeli fire kills girl student in Gaza, medics say",IDF spokesperson,1,Jabaliyah town,"near Yemen Al-Saeed Hospital in Jabalia, northern Gaza Strip",Gaza Strip,Gaza ash Shamaliyah governorate,31.527200,34.483471,POINT (34.483471 31.5272),175389,Israel,666,Middle East,1,1,2026-04-09 00:00:00.000,2026-04-09 00:00:00.000,0,2,0,0,2,2,2,666,
626547,ISR-2026-1-18806-0,2026,false,Clear,1,234,234,Israel: Palestine,18806,18806,Government of Israel - Palestinian Mujahideen Movement,121,121,Government of Israel,"",9806,Palestinian Mujahideen Movement,3,"""Wafa,2026-04-09,Three martyrs as a result of the occupation's bombing of the cities of Gaza and Khan Younis"";""@AnasAlSharif0 on Twitter (X),2026-04-10,Farewell to the body of the young martyr Mahmoud Ibrahim Al-Breim, who ascended yesterday following a strike by an occupation drone near the Abu Hamad roundabout east of Khan Younis in southern Gaza Strip."";""The Amit Terrorism and Intelligence Research Institute,2026-04-29,Spotlight on Terrorism and the Israeli-Palestinian Conflict (April 14 – 28, 2026)""",Wafa;@AnasAlSharif0 on Twitter (X);The Amit Terrorism and Intelligence Research Institute,2026-04-09;2026-04-10;2026-04-29,"Three martyrs as a result of the occupation's bombing of the cities of Gaza and Khan Younis;Farewell to the body of the young martyr Mahmoud Ibrahim Al-Breim, who ascended yesterday following a strike by an occupation drone near the Abu Hamad roundabout east of Khan Younis in southern Gaza Strip.;Spotlight on Terrorism and the Israeli-Palestinian Conflict (April 14 – 28, 2026)",IDF,1,Khan Younis town,Abu Hamid roundabout area in the center of Khan Younis city,Gaza Strip,Khan Younis governorate,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,2026-04-09 00:00:00.000,2026-04-09 00:00:00.000,0,1,0,0,1,1,1,666,
626551,ISR-2026-1-891-241,2026,true,Clear,1,426,426,Israel: Southern Lebanon,891,891,Government of Israel - Hezbollah,121,121,Government of Israel,366,366,Hezbollah,1,"""Wafa,2026-04-11, Three martyrs, residential buildings destroyed, and a generator complex damaged in southern Lebanon.""",Wafa,2026-04-11,"Three martyrs, residential buildings destroyed, and a generator complex damaged in southern Lebanon.",National News Agency,1,Mifidoun village,town of Mefdoun in southern Lebanon,Nabatiye province,Nabatiye  county,33.344444,35.475556,POINT (35.475556 33.344444),177551,Lebanon,660,Middle East,1,1,2026-04-11 00:00:00.000,2026-04-11 00:00:00.000,0,0,0,3,3,3,3,666,
626555,ISR-2026-1-477-236,2026,true,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,3,"""Wafa,2026-04-11,Martyrs and wounded in an Israeli bombing of Deir al-Balah and Beit Lahia in the Gaza Strip"";""Palestinian Centre For Human Rights,2026-04-16,Escalating Killings in Gaza Strip Reflect Institutionalization of Genocide by Israel"";""Reuters News,2026-04-11,UPDATE 1-Israeli strikes kill seven in Gaza, health officials say""",Wafa;Palestinian Centre For Human Rights;Reuters News,2026-04-11;2026-04-16;2026-04-11,"Martyrs and wounded in an Israeli bombing of Deir al-Balah and Beit Lahia in the Gaza Strip;Escalating Killings in Gaza Strip Reflect Institutionalization of Genocide by Israel;UPDATE 1-Israeli strikes kill seven in Gaza, health officials say","Wafa correspondent; PCHR, officials",1,Beit Lahiya town,town of Beit Lahia in the northern Gaza Strip.,Gaza Strip,Gaza ash Shamaliyah governorate,31.546397,34.495142,POINT (34.495142 31.546397),175389,Israel,666,Middle East,1,1,2026-04-11 00:00:00.000,2026-04-11 00:00:00.000,0,0,0,3,3,3,1,666,
626556,ISR-2026-3-950-25,2026,false,Clear,3,121,483,Government of Israel - Civilians,121,950,Government of Israel - Civilians,121,121,Government of Israel,9999,1,Civilians,3,"""Wafa,2026-04-11,A martyr killed by settlers in the village of Deir Jarir"";""The Meir Amit Intelligence and Terrorism Information Center,2026-04-15,Spotlight on Terrorism and the Israeli-Palestinian Conflict (March 30 – April 14, 2026)"";""OCHA,2026-04-17,Humanitarian Situation Report | 17 April 2026""",Wafa;The Meir Amit Intelligence and Terrorism Information Center;OCHA,2026-04-11;2026-04-15;2026-04-17,"A martyr killed by settlers in the village of Deir Jarir;Spotlight on Terrorism and the Israeli-Palestinian Conflict (March 30 – April 14, 2026);Humanitarian Situation Report | 17 April 2026","Ministry of Health, OCHA",1,Dayr Jarir village,village of Deir Jarir,West Bank,Ramallah and al-Bireh governorate,31.964465,35.294634,POINT (35.294634 31.964465),175391,Israel,666,Middle East,1,1,2026-04-11 00:00:00.000,2026-04-11 00:00:00.000,0,0,1,0,1,1,1,666,
626557,ISR-2026-1-477-237,2026,true,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,2,"""Wafa,2026-04-12,A martyr killed by Israeli occupation forces in Khan Younis."";""Palestinian Centre For Human Rights,2026-04-16,Escalating Killings in Gaza Strip Reflect Institutionalization of Genocide by Israel""",Wafa;Palestinian Centre For Human Rights,2026-04-12;2026-04-16,A martyr killed by Israeli occupation forces in Khan Younis.;Escalating Killings in Gaza Strip Reflect Institutionalization of Genocide by Israel,Medical sources; PCHR,1,Khan Younis town,"near the intersection of Street 5 with Salah al-Din Street in Khan Yunis, southern Gaza Strip.",Gaza Strip,Khan Younis governorate,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,2026-04-12 00:00:00.000,2026-04-12 00:00:00.000,0,0,0,1,1,1,1,666,
626559,ISR-2026-1-477-238,2026,true,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,2,"""Wafa,2026-04-13,Martyrs and wounded: Israeli occupation forces bombed a group of citizens in Deir al-Balah."";""Palestinian Centre For Human Rights,2026-04-16,Escalating Killings in Gaza Strip Reflect Institutionalization of Genocide by Israel""",Wafa;Palestinian Centre For Human Rights,2026-04-13;2026-04-16,Martyrs and wounded: Israeli occupation forces bombed a group of citizens in Deir al-Balah.;Escalating Killings in Gaza Strip Reflect Institutionalization of Genocide by Israel,Medical sources; PCHR,1,Deir al-Balah town,"near Site 14, close to Al-Mazraa School in Deir al-Balah.",Gaza Strip,Deir al-Balah governorate,31.417479,34.350140,POINT (34.35014 31.417479),174669,Israel,666,Middle East,1,1,2026-04-13 00:00:00.000,2026-04-13 00:00:00.000,0,0,0,3,3,3,3,666,
626562,ISR-2026-1-891-244,2026,true,Clear,1,426,426,Israel: Southern Lebanon,891,891,Government of Israel - Hezbollah,121,121,Government of Israel,366,366,Hezbollah,1,"""Wafa,2026-04-13,Martyrs and wounded continue as the occupation's aggression against Lebanon persists.""",Wafa,2026-04-13,Martyrs and wounded continue as the occupation's aggression against Lebanon persists.,Lebanese Red Cross,1,Beit Yahoun village,Beit Yahoun in the Bint Jbeil district,Nabatiye province,Bint Jubayl  county,33.158991,35.421777,POINT (35.421777 33.158991),177551,Lebanon,660,Middle East,1,1,2026-04-13 00:00:00.000,2026-04-13 00:00:00.000,0,0,1,0,1,1,1,666,
626563,ISR-2026-1-891-243,2026,true,Clear,1,426,426,Israel: Southern Lebanon,891,891,Government of Israel - Hezbollah,121,121,Government of Israel,366,366,Hezbollah,1,"""Wafa,2026-04-13,Martyrs and wounded continue as the occupation's aggression against Lebanon persists.""",Wafa,2026-04-13,Martyrs and wounded continue as the occupation's aggression against Lebanon persists.,Lebanese Ministry of Health,1,Maaroub village,town of Maaroub in the Tyre district,South Lebanon province,Tyre  county,33.285830,35.347220,POINT (35.34722 33.28583),177551,Lebanon,660,Middle East,1,1,2026-04-13 00:00:00.000,2026-04-13 00:00:00.000,0,0,1,3,4,4,4,666,
